Message                                                                                                                                                                                  ,Id ,Version ,Qualifiers ,Level ,Task ,Opcode ,Keywords             ,RecordId ,ProviderName                ,ProviderId                           ,LogName ,ProcessId ,ThreadId ,MachineName     ,UserId   ,TimeCreated         ,ActivityId                           ,RelatedActivityId ,ContainerLog                               ,MatchedQueryIds ,Bookmark                                         ,LevelDisplayName ,OpcodeDisplayName ,TaskDisplayName ,KeywordsDisplayNames                                               ,Properties
Initiating changes for package KB5041585. Current state is Superseded. Target state is Absent. Client id: CbsTask.                                                                       , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      41 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    16836 ,   13548 ,mosnter         ,S-1-5-18 ,20.10.2024 00:37:51 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5040442. Current state is Superseded. Target state is Absent. Client id: CbsTask.                                                                       , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      40 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    16836 ,   13548 ,mosnter         ,S-1-5-18 ,20.10.2024 00:35:54 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5043937. Current state is Installed. Target state is Absent. Client id: CbsTask.                                                                        , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      39 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    16836 ,   13548 ,mosnter         ,S-1-5-18 ,20.10.2024 00:35:50 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5044033 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      38 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     2896 ,    2932 ,mosnter         ,S-1-5-18 ,12.10.2024 04:24:21 ,5476e4f1-1c45-0005-00fa-7654451cdb01 ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5044285 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      37 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     2896 ,    2932 ,mosnter         ,S-1-5-18 ,12.10.2024 04:24:21 ,5476e4f1-1c45-0005-00fa-7654451cdb01 ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5044033 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      36 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1184 ,   15272 ,mosnter         ,S-1-5-18 ,12.10.2024 01:23:25 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5044033. Current state is Absent. Target state is Installed. Client id: WindowsUpdateAgent.                                                             , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      35 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1184 ,   15272 ,mosnter         ,S-1-5-18 ,12.10.2024 01:22:44 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5044285 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      34 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    21560 ,   20356 ,mosnter         ,S-1-5-18 ,12.10.2024 00:22:35 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5044285. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      33 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    21560 ,   20356 ,mosnter         ,S-1-5-18 ,12.10.2024 00:14:42 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5046247 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      32 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    10440 ,   13844 ,mosnter         ,S-1-5-18 ,12.10.2024 00:14:37 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5046247. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      31 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    10440 ,   13844 ,mosnter         ,S-1-5-18 ,12.10.2024 00:14:22 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5043076 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      30 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     3016 ,    3056 ,mosnter         ,S-1-5-18 ,11.09.2024 16:08:22 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5043076 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      29 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    17588 ,   11976 ,mosnter         ,S-1-5-18 ,11.09.2024 15:33:08 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5043076. Current state is Resolved. Target state is Installed. Client id: UpdateAgentLCU.                                                               , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      28 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    17588 ,   11976 ,mosnter         ,S-1-5-18 ,11.09.2024 15:30:35 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5041584. Current state is Installed. Target state is Absent. Client id: Arbiter.                                                                        , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      27 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1968 ,    5276 ,mosnter         ,S-1-5-18 ,11.09.2024 15:09:01 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5043076 failed to be changed to the Installed state. Status: 0x80070008.                                                                                                       , 3 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      26 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    13300 ,    6100 ,mosnter         ,S-1-5-18 ,11.09.2024 05:25:31 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5043076. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      25 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    13300 ,    6100 ,mosnter         ,S-1-5-18 ,11.09.2024 05:18:29 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5043937 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      24 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1836 ,    4556 ,mosnter         ,S-1-5-18 ,11.09.2024 05:18:22 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5043937. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      23 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1836 ,    4556 ,mosnter         ,S-1-5-18 ,11.09.2024 05:17:55 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package Microsoft-Windows-StepsRecorder-tr-TR. Current state is Superseded. Target state is Absent. Client id: Arbiter.                                           , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      22 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     8916 ,   13048 ,mosnter         ,S-1-5-18 ,11.09.2024 04:33:53 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
