Message                                                                                                                                                                                  ,Id ,Version ,Qualifiers ,Level ,Task ,Opcode ,Keywords             ,RecordId ,ProviderName                ,ProviderId                           ,LogName ,ProcessId ,ThreadId ,MachineName     ,UserId   ,TimeCreated         ,ActivityId                           ,RelatedActivityId ,ContainerLog                               ,MatchedQueryIds ,Bookmark                                         ,LevelDisplayName ,OpcodeDisplayName ,TaskDisplayName ,KeywordsDisplayNames                                               ,Properties
Initiating changes for package KB5033375. Current state is Superseded. Target state is Absent. Client id: Arbiter.                                                                       , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      21 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     8916 ,   13048 ,mosnter         ,S-1-5-18 ,11.09.2024 04:32:59 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5039338. Current state is Installed. Target state is Absent. Client id: CbsTask.                                                                        , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      20 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1372 ,    4640 ,mosnter         ,S-1-5-18 ,24.08.2024 10:32:18 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5032393. Current state is Installed. Target state is Absent. Client id: CbsTask.                                                                        , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      19 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     1372 ,    4640 ,mosnter         ,S-1-5-18 ,24.08.2024 10:32:10 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Selectable update Windows-Defender-Default-Definitions of package Windows-Defender-AM-Default-Definitions-OptionalWrapper was successfully turned off.                                   ,10 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      18 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    10600 ,   14612 ,mosnter         ,S-1-5-18 ,19.08.2024 01:40:01 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes to turn off update Windows-Defender-Default-Definitions of package Windows-Defender-AM-Default-Definitions-OptionalWrapper. Client id: DISM Package Manager Provider. , 8 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      17 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    10600 ,   14612 ,mosnter         ,S-1-5-18 ,19.08.2024 01:39:50 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5041585 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      16 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     3120 ,    3148 ,mosnter         ,S-1-5-18 ,17.08.2024 13:12:34 ,e429ad0e-f08d-0000-a5e6-29e48df0da01 ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5042099 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      15 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     3120 ,    3148 ,mosnter         ,S-1-5-18 ,17.08.2024 13:12:34 ,e429ad0e-f08d-0000-a5e6-29e48df0da01 ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5042099 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      14 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5168 ,    2344 ,mosnter         ,S-1-5-18 ,17.08.2024 13:09:41 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5041585 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      13 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5400 ,   13072 ,mosnter         ,S-1-5-18 ,17.08.2024 12:56:48 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5041585. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      12 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5400 ,   13072 ,mosnter         ,S-1-5-18 ,17.08.2024 12:52:40 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5041584 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      11 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5388 ,   14208 ,mosnter         ,S-1-5-18 ,17.08.2024 12:52:35 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5041584. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,      10 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5388 ,   14208 ,mosnter         ,S-1-5-18 ,17.08.2024 12:52:29 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5042099. Current state is Absent. Target state is Installed. Client id: WindowsUpdateAgent.                                                             , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       9 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,    10140 ,    6416 ,mosnter         ,S-1-5-18 ,17.08.2024 12:44:22 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5040442 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       8 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     3236 ,    3284 ,mosnter         ,S-1-5-18 ,17.08.2024 09:29:25 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5040442 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       7 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     3480 ,     940 ,mosnter         ,S-1-5-18 ,17.08.2024 09:25:55 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5040442. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       6 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     3480 ,     940 ,mosnter         ,S-1-5-18 ,17.08.2024 09:19:56 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5039338 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       5 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     7296 ,    7912 ,mosnter         ,S-1-5-18 ,17.08.2024 09:19:52 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5039338. Current state is Absent. Target state is Installed. Client id: UpdateAgentLCU.                                                                 , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       4 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     7296 ,    7912 ,mosnter         ,S-1-5-18 ,17.08.2024 09:19:36 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Package KB5041655 was successfully changed to the Installed state.                                                                                                                       , 2 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       3 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     2604 ,    2656 ,DESKTOP-AIOCBLG ,S-1-5-18 ,17.08.2024 09:05:00 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
A reboot is necessary before package KB5041655 can be changed to the Installed state.                                                                                                    , 4 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       2 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5232 ,    5252 ,DESKTOP-AIOCBLG ,S-1-5-18 ,17.08.2024 09:04:39 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Initiating changes for package KB5041655. Current state is Absent. Target state is Installed. Client id: WindowsUpdateAgent.                                                             , 1 ,      0 ,           ,    0 ,   1 ,     0 ,-9223372036854775808 ,       1 ,Microsoft-Windows-Servicing ,bd12f3b8-fc40-4a61-a307-b7a013a069c1 ,Setup   ,     5232 ,    6284 ,DESKTOP-AIOCBLG ,S-1-5-18 ,17.08.2024 09:04:07 ,                                     ,                  ,c:\windows\system32\winevt\logs\setup.evtx ,System.UInt32[] ,System.Diagnostics.Eventing.Reader.EventBookmark ,Bilgi            ,Bilgi             ,                ,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String] ,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
